BAM,HEADER,phase,duty,pos_counts,vel_rad_s  (V_BUS=12.0V COUNTS_PER_REV=1976 dt=10ms)
BAM,2950,stair,90,0,0.000
BAM,2960,stair,90,0,0.000
BAM,2970,stair,90,0,0.000
BAM,2980,stair,90,0,0.000
BAM,2990,stair,90,0,0.000
BAM,3000,stair,90,0,0.000
BAM,3010,stair,120,0,0.000
BAM,3020,stair,120,0,0.000
BAM,3030,stair,120,0,0.000
BAM,3040,stair,120,0,0.000
BAM,3050,stair,120,0,0.000
BAM,3060,stair,120,0,0.000
BAM,3070,stair,120,0,0.000
BAM,3080,stair,120,0,0.000
BAM,3090,stair,120,0,0.000
BAM,3100,stair,120,0,0.000
BAM,3110,stair,120,0,0.000
BAM,3120,stair,120,0,0.000
BAM,3130,stair,120,0,0.000
BAM,3140,stair,120,0,0.000
BAM,3150,stair,120,0,0.000
BAM,3160,stair,120,0,0.000
BAM,3170,stair,120,0,0.000
BAM,3180,stair,120,0,0.000
BAM,3190,stair,120,0,0.000
BAM,3200,stair,120,0,0.000
BAM,3210,stair,120,0,0.000
BAM,3220,stair,120,0,0.000
BAM,3230,stair,120,0,0.000
BAM,3240,stair,120,0,0.000
BAM,3250,stair,120,0,0.000
BAM,3260,stair,120,0,0.000
BAM,3270,stair,120,0,0.000
BAM,3280,stair,120,0,0.000
BAM,3290,stair,120,0,0.000
BAM,3300,stair,120,0,0.000
BAM,3310,stair,120,0,0.000
BAM,3320,stair,120,0,0.000
BAM,3330,stair,120,0,0.000
BAM,3340,stair,120,0,0.000
BAM,3350,stair,120,0,0.000
BAM,3360,stair,120,0,0.000
BAM,3370,stair,120,0,0.000
BAM,3380,stair,120,0,0.000
BAM,3390,stair,120,0,0.000
BAM,3400,stair,120,0,0.000
BAM,3410,stair,120,0,0.000
BAM,3420,stair,120,0,0.000
BAM,3430,stair,120,0,0.000
BAM,3440,stair,120,0,0.000
BAM,3450,stair,120,0,0.000
BAM,3460,stair,120,0,0.000
BAM,3470,stair,120,0,0.000
BAM,3480,stair,120,0,0.000
BAM,3490,stair,120,0,0.000
BAM,3500,stair,120,0,0.000
BAM,3510,stair,120,0,0.000
BAM,3520,stair,120,0,0.000
BAM,3530,stair,120,0,0.000
BAM,3540,stair,120,0,0.000
BAM,3550,stair,120,0,0.000
BAM,3560,stair,120,0,0.000
BAM,3570,stair,120,0,0.000
BAM,3580,stair,120,0,0.000
BAM,3590,stair,120,0,0.000
BAM,3600,stair,120,0,0.000
BAM,3610,stair,120,0,0.000
BAM,3620,stair,120,0,0.000
BAM,3630,stair,120,0,0.000
BAM,3640,stair,120,0,0.000
BAM,3650,stair,120,0,0.000
BAM,3660,stair,120,0,0.000
BAM,3670,stair,120,0,0.000
BAM,3680,stair,120,0,0.000
BAM,3690,stair,120,0,0.000
BAM,3700,stair,120,0,0.000
BAM,3710,stair,120,0,0.000
BAM,3720,stair,120,0,0.000
BAM,3730,stair,120,0,0.000
BAM,3740,stair,120,0,0.000
BAM,3750,stair,120,0,0.000
BAM,3760,stair,120,0,0.000
BAM,3770,stair,120,0,0.000
BAM,3780,stair,120,0,0.000
BAM,3790,stair,120,0,0.000
BAM,3800,stair,120,0,0.000
BAM,3810,stair,120,0,0.000
BAM,3820,stair,120,0,0.000
BAM,3830,stair,120,0,0.000
BAM,3840,stair,120,0,0.000
BAM,3850,stair,120,0,0.000
BAM,3860,stair,120,0,0.000
BAM,3870,stair,120,0,0.000
BAM,3880,stair,120,0,0.000
BAM,3890,stair,120,0,0.000
BAM,3900,stair,120,0,0.000
BAM,3910,stair,120,0,0.000
BAM,3920,stair,120,0,0.000
BAM,3930,stair,120,0,0.000
BAM,3940,stair,120,0,0.000
BAM,3950,stair,120,0,0.000
BAM,3960,stair,120,0,0.000
BAM,3970,stair,120,0,0.000
BAM,3980,stair,120,0,0.000
BAM,3990,stair,120,0,0.000
BAM,4000,stair,120,0,0.000
BAM,4010,stair,120,0,0.000
BAM,4020,stair,120,0,0.000
BAM,4030,stair,120,0,0.000
BAM,4040,stair,120,0,0.000
BAM,4050,stair,120,0,0.000
BAM,4060,stair,120,0,0.000
BAM,4070,stair,120,0,0.000
BAM,4080,stair,120,0,0.000
BAM,4090,stair,120,0,0.000
BAM,4100,stair,120,0,0.000
BAM,4110,stair,120,0,0.000
BAM,4120,stair,120,0,0.000
BAM,4130,stair,120,0,0.000
BAM,4140,stair,120,0,0.000
BAM,4150,stair,120,0,0.000
BAM,4160,stair,120,0,0.000
BAM,4170,stair,120,0,0.000
BAM,4180,stair,120,0,0.000
BAM,4190,stair,120,0,0.000
BAM,4200,stair,120,0,0.000
BAM,4210,stair,120,0,0.000
BAM,4220,stair,120,0,0.000
BAM,4230,stair,120,0,0.000
BAM,4240,stair,120,0,0.000
BAM,4250,stair,120,0,0.000
BAM,4260,stair,120,0,0.000
BAM,4270,stair,120,0,0.000
BAM,4280,stair,120,0,0.000
BAM,4290,stair,120,0,0.000
BAM,4300,stair,120,0,0.000
BAM,4310,stair,120,0,0.000
BAM,4320,stair,120,0,0.000
BAM,4330,stair,120,0,0.000
BAM,4340,stair,120,0,0.000
BAM,4350,stair,120,0,0.000
BAM,4360,stair,120,0,0.000
BAM,4370,stair,120,0,0.000
BAM,4380,stair,120,0,0.000
BAM,4390,stair,120,0,0.000
BAM,4400,stair,120,0,0.000
BAM,4410,stair,120,0,0.000
BAM,4420,stair,120,0,0.000
BAM,4430,stair,120,0,0.000
BAM,4440,stair,120,0,0.000
BAM,4450,stair,120,0,0.000
BAM,4460,stair,120,0,0.000
BAM,4470,stair,120,0,0.000
BAM,4480,stair,120,0,0.000
BAM,4490,stair,120,0,0.000
BAM,4500,stair,120,0,0.000
BAM,4510,stair,150,-1,-0.318
BAM,4520,stair,150,-3,-0.636
BAM,4530,stair,150,-6,-0.954
BAM,4540,stair,150,-10,-1.272
BAM,4550,stair,150,-15,-1.590
BAM,4560,stair,150,-19,-1.272
BAM,4570,stair,150,-23,-1.272
BAM,4580,stair,150,-29,-1.908
BAM,4590,stair,150,-33,-1.272
BAM,4600,stair,150,-39,-1.908
BAM,4610,stair,150,-43,-1.272
BAM,4620,stair,150,-49,-1.908
BAM,4630,stair,150,-54,-1.590
BAM,4640,stair,150,-59,-1.590
BAM,4650,stair,150,-65,-1.908
BAM,4660,stair,150,-70,-1.590
BAM,4670,stair,150,-75,-1.590
BAM,4680,stair,150,-81,-1.908
BAM,4690,stair,150,-86,-1.590
BAM,4700,stair,150,-91,-1.590
BAM,4710,stair,150,-97,-1.908
BAM,4720,stair,150,-102,-1.590
BAM,4730,stair,150,-107,-1.590
BAM,4740,stair,150,-113,-1.908
BAM,4750,stair,150,-119,-1.908
BAM,4760,stair,150,-124,-1.590
BAM,4770,stair,150,-130,-1.908
BAM,4780,stair,150,-135,-1.590
BAM,4790,stair,150,-141,-1.908
BAM,4800,stair,150,-147,-1.908
BAM,4810,stair,150,-152,-1.590
BAM,4820,stair,150,-158,-1.908
BAM,4830,stair,150,-163,-1.590
BAM,4840,stair,150,-169,-1.908
BAM,4850,stair,150,-175,-1.908
BAM,4860,stair,150,-181,-1.908
BAM,4870,stair,150,-186,-1.590
BAM,4880,stair,150,-192,-1.908
BAM,4890,stair,150,-197,-1.590
BAM,4900,stair,150,-203,-1.908
BAM,4910,stair,150,-209,-1.908
BAM,4920,stair,150,-215,-1.908
BAM,4930,stair,150,-221,-1.908
BAM,4940,stair,150,-226,-1.590
BAM,4950,stair,150,-232,-1.908
BAM,4960,stair,150,-238,-1.908
BAM,4970,stair,150,-243,-1.590
BAM,4980,stair,150,-249,-1.908
BAM,4990,stair,150,-255,-1.908
BAM,5000,stair,150,-261,-1.908
BAM,5010,stair,150,-267,-1.908
BAM,5020,stair,150,-272,-1.590
BAM,5030,stair,150,-278,-1.908
BAM,5040,stair,150,-283,-1.590
BAM,5050,stair,150,-289,-1.908
BAM,5060,stair,150,-295,-1.908
BAM,5070,stair,150,-300,-1.590
BAM,5080,stair,150,-306,-1.908
BAM,5090,stair,150,-311,-1.590
BAM,5100,stair,150,-317,-1.908
BAM,5110,stair,150,-322,-1.590
BAM,5120,stair,150,-327,-1.590
BAM,5130,stair,150,-333,-1.908
BAM,5140,stair,150,-339,-1.908
BAM,5150,stair,150,-344,-1.590
BAM,5160,stair,150,-349,-1.590
BAM,5170,stair,150,-355,-1.908
BAM,5180,stair,150,-361,-1.908
BAM,5190,stair,150,-367,-1.908
BAM,5200,stair,150,-372,-1.590
BAM,5210,stair,150,-377,-1.590
BAM,5220,stair,150,-383,-1.908
BAM,5230,stair,150,-389,-1.908
BAM,5240,stair,150,-394,-1.590
BAM,5250,stair,150,-399,-1.590
BAM,5260,stair,150,-405,-1.908
BAM,5270,stair,150,-411,-1.908
BAM,5280,stair,150,-416,-1.590
BAM,5290,stair,150,-421,-1.590
BAM,5300,stair,150,-427,-1.908
BAM,5310,stair,150,-433,-1.908
BAM,5320,stair,150,-438,-1.590
BAM,5330,stair,150,-444,-1.908
BAM,5340,stair,150,-449,-1.590
BAM,5350,stair,150,-455,-1.908
BAM,5360,stair,150,-461,-1.908
BAM,5370,stair,150,-467,-1.908
BAM,5380,stair,150,-472,-1.590
BAM,5390,stair,150,-478,-1.908
BAM,5400,stair,150,-483,-1.590
BAM,5410,stair,150,-489,-1.908
BAM,5420,stair,150,-495,-1.908
BAM,5430,stair,150,-501,-1.908
BAM,5440,stair,150,-507,-1.908
BAM,5450,stair,150,-512,-1.590
BAM,5460,stair,150,-518,-1.908
BAM,5470,stair,150,-524,-1.908
BAM,5480,stair,150,-529,-1.590
BAM,5490,stair,150,-535,-1.908
BAM,5500,stair,150,-541,-1.908
BAM,5510,stair,150,-547,-1.908
BAM,5520,stair,150,-553,-1.908
BAM,5530,stair,150,-559,-1.908
BAM,5540,stair,150,-564,-1.590
BAM,5550,stair,150,-570,-1.908
BAM,5560,stair,150,-576,-1.908
BAM,5570,stair,150,-581,-1.590
BAM,5580,stair,150,-587,-1.908
BAM,5590,stair,150,-593,-1.908
BAM,5600,stair,150,-599,-1.908
BAM,5610,stair,150,-605,-1.908
BAM,5620,stair,150,-611,-1.908
BAM,5630,stair,150,-616,-1.590
BAM,5640,stair,150,-622,-1.908
BAM,5650,stair,150,-628,-1.908
BAM,5660,stair,150,-634,-1.908
BAM,5670,stair,150,-639,-1.590
BAM,5680,stair,150,-645,-1.908
BAM,5690,stair,150,-651,-1.908
BAM,5700,stair,150,-657,-1.908
BAM,5710,stair,150,-663,-1.908
BAM,5720,stair,150,-669,-1.908
BAM,5730,stair,150,-674,-1.590
BAM,5740,stair,150,-680,-1.908
BAM,5750,stair,150,-686,-1.908
BAM,5760,stair,150,-691,-1.590
BAM,5770,stair,150,-697,-1.908
BAM,5780,stair,150,-703,-1.908
BAM,5790,stair,150,-709,-1.908
BAM,5800,stair,150,-715,-1.908
BAM,5810,stair,150,-721,-1.908
BAM,5820,stair,150,-727,-1.908
BAM,5830,stair,150,-732,-1.590
BAM,5840,stair,150,-738,-1.908
BAM,5850,stair,150,-744,-1.908
BAM,5860,stair,150,-750,-1.908
BAM,5870,stair,150,-755,-1.590
BAM,5880,stair,150,-761,-1.908
BAM,5890,stair,150,-767,-1.908
BAM,5900,stair,150,-773,-1.908
BAM,5910,stair,150,-779,-1.908
BAM,5920,stair,150,-785,-1.908
BAM,5930,stair,150,-790,-1.590
BAM,5940,stair,150,-796,-1.908
BAM,5950,stair,150,-802,-1.908
BAM,5960,stair,150,-807,-1.590
BAM,5970,stair,150,-813,-1.908
BAM,5980,stair,150,-819,-1.908
BAM,5990,stair,150,-825,-1.908
BAM,6000,stair,150,-831,-1.908
BAM,6010,stair,180,-838,-2.226
BAM,6020,stair,180,-849,-3.498
BAM,6030,stair,180,-862,-4.134
BAM,6040,stair,180,-876,-4.452
BAM,6050,stair,180,-891,-4.770
BAM,6060,stair,180,-906,-4.770
BAM,6070,stair,180,-922,-5.088
BAM,6080,stair,180,-937,-4.770
BAM,6090,stair,180,-953,-5.088
BAM,6100,stair,180,-970,-5.406
BAM,6110,stair,180,-986,-5.088
BAM,6120,stair,180,-1003,-5.406
BAM,6130,stair,180,-1019,-5.088
BAM,6140,stair,180,-1035,-5.088
BAM,6150,stair,180,-1051,-5.088
BAM,6160,stair,180,-1068,-5.406
BAM,6170,stair,180,-1084,-5.088
BAM,6180,stair,180,-1101,-5.406
BAM,6190,stair,180,-1117,-5.088
BAM,6200,stair,180,-1133,-5.088
BAM,6210,stair,180,-1150,-5.406
BAM,6220,stair,180,-1167,-5.406
BAM,6230,stair,180,-1183,-5.088
BAM,6240,stair,180,-1199,-5.088
BAM,6250,stair,180,-1216,-5.406
BAM,6260,stair,180,-1233,-5.406
BAM,6270,stair,180,-1249,-5.088
BAM,6280,stair,180,-1265,-5.088
BAM,6290,stair,180,-1282,-5.406
BAM,6300,stair,180,-1299,-5.406
BAM,6310,stair,180,-1315,-5.088
BAM,6320,stair,180,-1331,-5.088
BAM,6330,stair,180,-1348,-5.406
BAM,6340,stair,180,-1365,-5.406
BAM,6350,stair,180,-1381,-5.088
BAM,6360,stair,180,-1398,-5.406
BAM,6370,stair,180,-1415,-5.406
BAM,6380,stair,180,-1431,-5.088
BAM,6390,stair,180,-1447,-5.088
BAM,6400,stair,180,-1464,-5.406
BAM,6410,stair,180,-1481,-5.406
BAM,6420,stair,180,-1497,-5.088
BAM,6430,stair,180,-1514,-5.406
BAM,6440,stair,180,-1531,-5.406
BAM,6450,stair,180,-1547,-5.088
BAM,6460,stair,180,-1564,-5.406
BAM,6470,stair,180,-1581,-5.406
BAM,6480,stair,180,-1597,-5.088
BAM,6490,stair,180,-1614,-5.406
BAM,6500,stair,180,-1630,-5.088
BAM,6510,stair,180,-1647,-5.406
BAM,6520,stair,180,-1663,-5.088
BAM,6530,stair,180,-1680,-5.406
BAM,6540,stair,180,-1697,-5.406
BAM,6550,stair,180,-1713,-5.088
BAM,6560,stair,180,-1730,-5.406
BAM,6570,stair,180,-1747,-5.406
BAM,6580,stair,180,-1763,-5.088
BAM,6590,stair,180,-1780,-5.406
BAM,6600,stair,180,-1797,-5.406
BAM,6610,stair,180,-1813,-5.088
BAM,6620,stair,180,-1830,-5.406
BAM,6630,stair,180,-1847,-5.406
